Sale Date,ticketsSold,cash,check,creditCard,misc,total,weekday,avgTkt,7D_avg,14D_avg,30D_avg,60D_avg,90D_avg,7D_tot,14D_tot,30D_tot,60D_tot,90D_tot
2018-03-05,1,0.0,0,45.0,0.0,45.0,Monday,45.0,,,,,,,,,,
2018-03-07,16,498.0,0,55.0,110.0,663.0,Wednesday,41.44,,,,,,,,,,
2018-03-10,2,0.0,0,55.0,0.0,55.0,Saturday,27.5,,,,,,,,,,
2018-03-11,4,182.0,0,0.0,0.0,182.0,Sunday,45.5,,,,,,,,,,
2018-03-12,1,0.0,0,55.0,0.0,55.0,Monday,55.0,,,,,,,,,,
2018-03-13,16,882.0,0,0.0,0.0,882.0,Tuesday,55.12,,,,,,,,,,
2018-03-14,20,1043.0,0,0.0,55.0,1098.0,Wednesday,54.9,425.7142857142857,,,,,2980.0,,,,
2018-03-15,20,1125.0,0,0.0,0.0,1125.0,Thursday,56.25,580.0,,,,,4060.0,,,,
2018-03-16,16,786.4,0,0.0,0.0,786.4,Friday,49.15,597.6285714285714,,,,,4183.4,,,,
2018-03-17,17,770.0,0,0.0,0.0,770.0,Saturday,45.29,699.7714285714285,,,,,4898.4,,,,
2018-03-18,20,980.0,0,0.0,165.0,1145.0,Sunday,57.25,837.342857142857,,,,,5861.4,,,,
2018-03-19,15,580.0,35,0.0,0.0,615.0,Monday,41.0,917.342857142857,,,,,6421.4,,,,
2018-03-20,15,672.5,0,55.0,0.0,727.5,Tuesday,48.5,895.2714285714285,,,,,6266.9,,,,
2018-03-21,16,660.0,0,27.5,0.0,687.5,Wednesday,42.97,836.6285714285714,631.1714285714286,,,,5856.4,8836.4,,,
2018-03-22,20,1300.0,0,0.0,300.0,1600.0,Thursday,80.0,904.4857142857143,742.2428571428571,,,,6331.4,10391.4,,,
2018-03-23,18,890.0,0,85.0,0.0,975.0,Friday,54.17,931.4285714285714,764.5285714285714,,,,6520.0,10703.4,,,
2018-03-24,23,960.0,0,0.0,47.0,1007.0,Saturday,43.78,965.2857142857143,832.5285714285714,,,,6757.0,11655.4,,,
2018-03-25,19,925.0,0,0.0,63.0,988.0,Sunday,52.0,942.8571428571429,890.1,,,,6600.0,12461.4,,,
2018-03-26,15,685.0,0,0.0,17.5,702.5,Monday,46.83,955.3571428571429,936.35,,,,6687.5,13108.9,,,
2018-03-27,14,910.0,0,0.0,0.0,910.0,Tuesday,65.0,981.4285714285714,938.35,,,,6870.0,13136.9,,,
2018-03-28,25,1065.0,0,0.0,0.0,1065.0,Wednesday,42.6,1035.357142857143,935.9928571428571,,,,7247.5,13103.9,,,
2018-03-29,13,600.0,0,80.0,55.0,735.0,Thursday,56.54,911.7857142857143,908.1357142857142,,,,6382.5,12713.9,,,
2018-03-30,17,1201.0,0,235.0,0.0,1436.0,Friday,84.47,977.6428571428571,954.5357142857143,,,,6843.5,13363.5,,,
2018-03-31,15,620.0,0,220.0,0.0,840.0,Saturday,56.0,953.7857142857143,959.5357142857143,,,,6676.5,13433.5,,,
2018-04-01,17,615.0,0,117.5,90.0,822.5,Sunday,48.38,930.1428571428571,936.5,,,,6511.0,13111.0,,,
2018-04-02,18,125.0,0,630.0,0.0,755.0,Monday,41.94,937.6428571428571,946.5,,,,6563.5,13251.0,,,
2018-04-03,13,120.0,0,980.0,0.0,1100.0,Tuesday,84.62,964.7857142857143,973.1071428571429,,,,6753.5,13623.5,,,
2018-04-04,9,325.0,0,250.0,0.0,575.0,Wednesday,63.89,894.7857142857143,965.0714285714286,,,,6263.5,13511.0,,,
2018-04-05,20,1275.0,0,0.0,0.0,1275.0,Thursday,63.75,971.9285714285714,941.8571428571429,,,,6803.5,13186.0,,,
2018-04-06,22,501.0,0,590.0,0.0,1091.0,Friday,49.59,922.6428571428571,950.1428571428571,823.7800000000001,,,6458.5,13302.0,24713.4,,
2018-04-07,25,130.0,0,900.0,324.0,1354.0,Saturday,54.16,996.0714285714286,974.9285714285714,867.4133333333334,,,6972.5,13649.0,26022.4,,
2018-04-08,12,55.0,0,0.0,790.0,845.0,Sunday,70.42,999.2857142857143,964.7142857142857,873.48,,,6995.0,13506.0,26204.4,,
2018-04-09,17,345.0,0,220.0,269.5,834.5,Monday,49.09,1010.6428571428571,974.1428571428571,899.4633333333334,,,7074.5,13638.0,26983.9,,
2018-04-10,16,350.0,0,585.0,56.0,991.0,Tuesday,61.94,995.0714285714286,979.9285714285714,926.4300000000001,,,6965.5,13719.0,27792.9,,
2018-04-11,20,0.0,0,500.0,120.0,620.0,Wednesday,31.0,1001.5,948.1428571428571,945.2633333333334,,,7010.5,13274.0,28357.9,,
2018-04-12,14,200.0,0,710.75,200.0,1110.75,Thursday,79.34,978.0357142857143,974.9821428571429,952.8883333333334,,,6846.25,13649.75,28586.65,,
2018-04-13,18,105.0,0,675.0,310.0,1090.0,Friday,60.56,977.8928571428571,950.2678571428571,952.6216666666667,,,6845.25,13303.75,28578.65,,
2018-04-14,15,116.5,0,785.0,180.0,1081.5,Saturday,72.1,938.9642857142857,967.5178571428571,951.1716666666667,,,6572.75,13545.25,28535.15,,
2018-04-15,13,110.0,0,20.0,390.0,520.0,Sunday,40.0,892.5357142857143,945.9107142857143,942.2916666666666,,,6247.75,13242.75,28268.75,,
2018-04-16,17,390.0,0,298.0,325.0,1013.0,Monday,59.59,918.0357142857143,964.3392857142857,950.3916666666667,,,6426.25,13500.75,28511.75,,
2018-04-17,16,80.0,0,495.0,450.0,1025.0,Tuesday,64.06,922.8928571428571,958.9821428571429,946.3916666666667,,,6460.25,13425.75,28391.75,,
2018-04-18,15,370.0,0,225.0,190.0,785.0,Wednesday,52.33,946.4642857142857,973.9821428571429,952.0583333333333,,,6625.25,13635.75,28561.75,,
2018-04-19,26,495.0,0,400.0,345.0,1240.0,Thursday,47.69,964.9285714285714,971.4821428571429,969.1416666666667,,,6754.5,13600.75,29074.25,,
2018-04-20,20,130.0,0,400.0,880.0,1410.0,Friday,70.5,1010.6428571428571,994.2678571428571,993.225,,,7074.5,13919.75,29796.75,,
2018-04-21,20,175.0,0,700.0,225.0,1100.0,Saturday,55.0,1013.2857142857143,976.125,976.5583333333333,,,7093.0,13665.75,29296.75,,
2018-04-22,20,440.0,0,575.0,70.0,1085.0,Sunday,54.25,1094.0,993.2678571428571,980.225,,,7658.0,13905.75,29406.75,,
2018-04-23,13,275.0,0,280.0,145.0,700.0,Monday,53.85,1049.2857142857142,983.6607142857143,969.9916666666667,,,7345.0,13771.25,29099.75,,
2018-04-24,12,240.0,0,490.0,0.0,730.0,Tuesday,60.83,1007.1428571428571,965.0178571428571,961.3916666666667,,,7050.0,13510.25,28841.75,,
2018-04-25,23,447.5,0,730.0,35.0,1212.5,Wednesday,52.72,1068.2142857142858,1007.3392857142857,978.3916666666667,,,7477.5,14102.75,29351.75,,
2018-04-26,14,150.0,0,595.0,95.0,840.0,Thursday,60.0,1011.0714285714286,988.0,976.0583333333333,,,7077.5,13832.0,29281.75,,
2018-04-27,14,315.0,0,395.0,0.0,710.0,Friday,50.71,911.0714285714286,960.8571428571429,964.225,,,6377.5,13452.0,28926.75,,
2018-04-28,21,45.0,0,1125.0,190.0,1360.0,Saturday,64.76,948.2142857142857,980.75,985.0583333333333,,,6637.5,13730.5,29551.75,,
2018-04-29,18,230.0,0,690.0,180.0,1100.0,Sunday,61.11,950.3571428571429,1022.1785714285714,973.8583333333333,,,6652.5,14310.5,29215.75,,
2018-04-30,11,135.0,0,340.0,120.0,595.0,Monday,54.09,935.3571428571429,992.3214285714286,965.6916666666667,,,6547.5,13892.5,28970.75,,
2018-05-01,10,50.0,0,607.0,0.0,657.0,Tuesday,65.7,924.9285714285714,966.0357142857143,960.175,,,6474.5,13524.5,28805.25,,
2018-05-02,17,145.0,0,1153.0,120.0,1418.0,Wednesday,83.41,954.2857142857143,1011.25,982.275,,,6680.0,14157.5,29468.25,,
2018-05-03,11,120.0,0,430.0,35.0,585.0,Thursday,53.18,917.8571428571429,964.4642857142857,965.1083333333333,,,6425.0,13502.5,28953.25,,
