,ClientId,ClientServiceId,Duration,EndDateTime,FirstAppointment,GenderPreference,Id,LocationId,Notes,ProgramId,ProviderId,SessionTypeId,StaffId,StaffRequested,StartDateTime,Status
0,100005595,,120,2020-01-10T13:30:00,False,None,116940,1,,8,0,2124,3,False,2020-01-10T11:30:00,NoShow
1,100004735,101156.0,45,2020-01-10T19:45:00,False,None,116958,1,,21,0,1097,3,True,2020-01-10T19:00:00,Completed
2,100008397,101191.0,10,2020-01-10T21:10:00,True,None,116978,1,,6,0,1109,3,False,2020-01-10T21:00:00,Completed
3,100006303,101102.0,45,2020-01-10T14:45:00,False,None,116917,1,,2,0,1010,100000004,False,2020-01-10T14:00:00,Completed
4,100007681,101030.0,60,2020-01-10T12:15:00,False,None,116957,1,,5,0,1024,100000022,False,2020-01-10T11:15:00,Completed
5,100008390,101007.0,60,2020-01-10T14:30:00,True,None,116959,1,,4,0,1007,100000022,False,2020-01-10T13:30:00,Completed
6,100007329,101006.0,30,2020-01-10T15:45:00,False,None,116964,1,,2,0,1006,100000022,False,2020-01-10T15:15:00,Completed
7,100008397,101191.0,10,2020-01-10T21:10:00,True,None,116977,1,,6,0,1109,100000022,False,2020-01-10T21:00:00,Completed
8,100008389,100003.0,60,2020-01-10T14:00:00,True,None,116955,1,"Wants strong
Referred by Nick White",2,0,5,100000037,False,2020-01-10T13:00:00,Completed
9,100008392,102236.0,30,2020-01-10T15:15:00,True,None,116963,1,,4,0,2138,100000037,False,2020-01-10T14:45:00,Completed
10,100008387,101030.0,60,2020-01-10T21:00:00,True,None,116952,1,"$36 dollar, groupon has 20% off",5,0,1024,100000037,False,2020-01-10T20:00:00,Completed
11,100003561,101110.0,90,2020-01-10T19:30:00,False,None,116971,1,,2,0,5,100000038,False,2020-01-10T18:00:00,Completed
12,100008397,101191.0,10,2020-01-10T21:10:00,True,None,116976,1,,6,0,1109,100000038,False,2020-01-10T21:00:00,Completed
13,100008388,102237.0,45,2020-01-10T11:45:00,True,None,116953,1,,4,0,2139,100000061,False,2020-01-10T11:00:00,Completed
14,100003613,101110.0,60,2020-01-10T13:00:00,False,Female,116956,1,,5,0,1024,100000061,False,2020-01-10T12:00:00,Completed
15,100008391,102236.0,30,2020-01-10T15:15:00,True,None,116960,1,,4,0,2138,100000061,False,2020-01-10T14:45:00,Completed
16,100008397,101191.0,10,2020-01-10T21:10:00,True,None,116975,1,,6,0,1109,100000061,False,2020-01-10T21:00:00,Completed
34,100000811,101109.0,90,2020-01-09T17:00:00,False,None,116945,1,,2,0,1011,3,True,2020-01-09T15:30:00,Completed
35,100000363,100003.0,60,2020-01-09T19:00:00,False,None,116946,1,,2,0,5,3,False,2020-01-09T18:00:00,Completed
36,100004735,101187.0,30,2020-01-09T21:30:00,False,None,116951,1,,21,0,1106,3,True,2020-01-09T21:00:00,NoShow
37,100007622,101006.0,30,2020-01-09T13:15:00,False,None,116942,1,,2,0,1006,100000022,False,2020-01-09T12:45:00,Completed
38,100008386,101007.0,60,2020-01-09T20:00:00,True,None,116947,1,,4,0,1007,100000022,False,2020-01-09T19:00:00,Completed
39,100000599,,180,2020-01-09T14:00:00,False,None,116503,1,,8,0,1123,100000033,False,2020-01-09T11:00:00,NoShow
40,100000381,101194.0,60,2020-01-09T15:45:00,False,None,116949,1,,21,0,1111,100000037,False,2020-01-09T14:45:00,Completed
41,100008373,101006.0,30,2020-01-09T11:30:00,True,None,116909,1,,2,0,1006,100000061,False,2020-01-09T11:00:00,Completed
42,100008386,101007.0,60,2020-01-09T20:00:00,True,None,116948,1,,4,0,1007,100000061,False,2020-01-09T19:00:00,Completed
43,100008374,101008.0,30,2020-01-08T13:00:00,True,None,116911,1,,4,0,1008,3,False,2020-01-08T12:30:00,Completed
